Row	Highlight	Display	Tag	Symbol	NA	NB	NC	Bond	Angle	Dihedral	X	Y	Z
1	No	Show	1	Zr							-1.8134170	-1.1006289	0.0000000
2	No	Show	2	O	1			2.1100000			-1.1100715	-0.1059745	1.7228081
3	No	Show	3	O	1	2		2.1100000	109.4712183		-3.9234170	-1.1006029	0.0000000
4	No	Show	4	O	1	2	3	2.1100000	109.4712025	-120.0000006	-1.1101079	-3.0899645	0.0000000
5	No	Show	5	O	1	2	4	2.1100000	109.4712508	-119.9999852	-1.1100715	-0.1059745	-1.7228081
6	No	Show	6	C	2	1	4	1.4300000	109.5000001	180.0000000	-1.5863788	1.2423693	1.7234280
7	No	Show	7	H	6	2	1	1.0700000	109.4712025	-61.1585122	-1.2131430	1.7528791	0.8603088
8	No	Show	8	H	6	2	1	1.0700000	109.4712313	58.8414804	-2.6561872	1.2427317	1.7031846
9	No	Show	9	C	5	1	2	1.4300000	109.5000001	-58.5314958	-1.5579678	1.2519709	-1.7062856
10	No	Show	10	H	9	5	1	1.0700000	109.4712025	74.4298076	-0.9905274	1.8059835	-0.9879671
11	No	Show	11	H	9	5	1	1.0700000	109.4712313	-45.5701850	-2.5944506	1.2824844	-1.4423302
12	No	Show	12	C	6	2	1	1.5400000	109.4712025	178.8414730	-1.0967810	1.9591571	2.9954772
13	No	Show	13	H	12	6	2	1.0700000	109.4712025	-60.0756275	-1.4711034	1.4494162	3.8585803
14	No	Show	14	H	12	6	2	1.0700000	109.4712313	59.9243651	-0.0269863	1.9576370	3.0163785
15	No	Show	15	C	12	6	2	1.5400000	109.4712025	179.9243577	-1.6081436	3.4117783	2.9952205
16	No	Show	16	H	15	12	6	1.0700000	109.4712025	175.7050962	-1.3316969	3.8873781	3.9129797
17	No	Show	17	H	15	12	6	1.0700000	109.4712025	-64.2948891	-1.1742410	3.9424995	2.1736588
18	No	Show	18	H	15	12	6	1.0700000	109.4712313	55.7051036	-2.6737903	3.4147456	2.8988445
19	No	Show	19	C	9	5	1	1.5400000	109.4712025	-165.5701776	-1.3652472	1.8730926	-3.1022321
20	No	Show	20	H	19	9	5	1.0700000	109.4712025	-59.9861796	-0.3287968	1.8423604	-3.3662890
21	No	Show	21	H	19	9	5	1.0700000	109.4712313	60.0138130	-1.9328784	1.3192254	-3.8205119
22	No	Show	22	C	19	9	5	1.5400000	109.4712025	-179.9861944	-1.8472759	3.3356002	-3.0843476
23	No	Show	23	H	22	19	9	1.0700000	109.4712025	63.8080466	-1.2362681	3.9043616	-2.4149600
24	No	Show	24	H	22	19	9	1.0700000	109.4712025	-176.1919386	-1.7754222	3.7468946	-4.0695248
25	No	Show	25	H	22	19	9	1.0700000	109.4712313	-56.1919460	-2.8650535	3.3717019	-2.7561320
26	No	Show	26	C	3	1	2	1.4300000	109.5012052	-177.6311597	-4.4007981	-1.8222546	-1.1385193
27	No	Show	27	H	26	3	1	1.0700000	109.4712025	60.7852577	-4.0557389	-2.8339234	-1.0899344
28	No	Show	28	H	26	3	1	1.0700000	109.4712313	-59.2147349	-4.0331480	-1.3625366	-2.0320475
29	No	Show	29	C	26	3	1	1.5400000	109.4712025	-179.2147275	-5.9406691	-1.8050213	-1.1485298
30	No	Show	30	H	29	26	3	1.0700000	109.4712025	-60.5049400	-6.3083803	-2.2726163	-0.2591236
31	No	Show	31	H	29	26	3	1.0700000	109.4712313	59.4950526	-6.2857816	-0.7929832	-1.1882317
32	No	Show	32	C	29	26	3	1.5400000	109.4712025	179.4950452	-6.4546063	-2.5713790	-2.3814793
33	No	Show	33	H	32	29	26	1.0700000	109.4712025	57.2639076	-6.0704017	-3.5699087	-2.3664684
34	No	Show	34	H	32	29	26	1.0700000	109.4712025	177.2639224	-7.5240556	-2.6004000	-2.3631460
35	No	Show	35	H	32	29	26	1.0700000	109.4712313	-62.7360850	-6.1264478	-2.0762975	-3.2714828
36	No	Show	36	C	4	1	2	1.4300000	109.5000001	-116.0894074	-0.2419705	-3.2893409	-1.1186986
37	No	Show	37	H	36	4	1	1.0700000	109.4712025	59.4229926	0.5829986	-2.6108787	-1.0553354
38	No	Show	38	H	36	4	1	1.0700000	109.4712313	-60.5770000	-0.7816680	-3.1109357	-2.0252295
39	No	Show	39	C	36	4	1	1.5400000	109.4712025	179.4230074	0.2823682	-4.7373021	-1.1099195
40	No	Show	40	H	39	36	4	1.0700000	109.4712025	-60.8017067	0.8339365	-4.9114468	-0.2097272
41	No	Show	41	H	39	36	4	1.0700000	109.4712313	59.1982859	-0.5433963	-5.4159666	-1.1591907
42	No	Show	42	C	39	36	4	1.5400000	109.4712025	179.1982785	1.2013441	-4.9578555	-2.3258305
43	No	Show	43	H	42	39	36	1.0700000	109.4712025	59.1669725	2.0193559	-4.2693617	-2.2842013
44	No	Show	44	H	42	39	36	1.0700000	109.4712025	179.1669872	1.5772023	-5.9595708	-2.3117916
45	No	Show	45	H	42	39	36	1.0700000	109.4712313	-60.8330202	0.6459830	-4.7978754	-3.2263195
